"Data Table: Acute myocardial infarction, Crude incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Counts","Population",
"Nova Scotia","Both sexes","Total","20+","2013–2014","294","6.08","282","306","2.07","2330","793575",
"Nova Scotia","Females","Total","20+","2013–2014","214","7.19","200","228","3.36","885","413775",
"Nova Scotia","Males","Total","20+","2013–2014","379","9.99","360","399","2.64","1440","379795",
"Nova Scotia","Both sexes","Total","20+","2014–2015","282","5.95","271","294","2.11","2250","797640",
"Nova Scotia","Females","Total","20+","2014–2015","201","6.95","187","215","3.46","835","415845",
"Nova Scotia","Males","Total","20+","2014–2015","371","9.85","352","390","2.66","1415","381795",
"Nova Scotia","Both sexes","Total","20+","2015–2016","294","6.05","282","306","2.06","2360","802950",
"Nova Scotia","Females","Total","20+","2015–2016","221","7.27","207","236","3.29","925","418330",
"Nova Scotia","Males","Total","20+","2015–2016","372","9.83","353","392","2.64","1430","384615",
"Nova Scotia","Both sexes","Total","20+","2016–2017","293","6.01","282","305","2.05","2380","811080",
"Nova Scotia","Females","Total","20+","2016–2017","214","7.13","201","229","3.32","905","422020",
"Nova Scotia","Males","Total","20+","2016–2017","380","9.89","361","400","2.60","1480","389065",
"Nova Scotia","Both sexes","Total","20+","2017–2018","277","5.81","265","288","2.10","2270","820365",
"Nova Scotia","Females","Total","20+","2017–2018","199","6.83","186","213","3.43","850","426565",
"Nova Scotia","Males","Total","20+","2017–2018","362","9.59","343","381","2.65","1425","393800",
"Nova Scotia","Both sexes","Total","20+","2018–2019","278","5.78","267","289","2.08","2310","831560",
"Nova Scotia","Females","Total","20+","2018–2019","208","6.94","195","222","3.33","900","432050",
"Nova Scotia","Males","Total","20+","2018–2019","353","9.40","335","372","2.66","1410","399505",
"Nova Scotia","Both sexes","Total","20+","2019–2020","271","5.66","260","283","2.09","2295","846220",
"Nova Scotia","Females","Total","20+","2019–2020","202","6.78","188","215","3.36","885","439095",
"Nova Scotia","Males","Total","20+","2019–2020","346","9.22","328","365","2.66","1410","407125",
"Nova Scotia","Both sexes","Total","20+","2020–2021*","280","5.70","269","291","2.03","2415","862845",
"Nova Scotia","Females","Total","20+","2020–2021*","208","6.82","195","222","3.28","930","446950",
"Nova Scotia","Males","Total","20+","2020–2021*","356","9.25","338","374","2.60","1480","415890",
"Nova Scotia","Both sexes","Total","20+","2021–2022*","275","5.58","264","286","2.03","2420","880915",
"Nova Scotia","Females","Total","20+","2021–2022*","202","6.65","189","215","3.30","920","456275",
"Nova Scotia","Males","Total","20+","2021–2022*","352","9.11","334","370","2.59","1495","424630",
"Nova Scotia","Both sexes","Total","20+","2022–2023*","254","5.30","244","265","2.09","2295","903825",
"Nova Scotia","Females","Total","20+","2022–2023*","189","6.36","177","202","3.36","885","467865",
"Nova Scotia","Males","Total","20+","2022–2023*","325","8.63","308","342","2.66","1415","435960",
"New Brunswick","Both sexes","Total","20+","2000–2001","323","7.52","308","338","2.33","1845","571190",
"New Brunswick","Females","Total","20+","2000–2001","239","9.00","222","257","3.77","705","295130",
"New Brunswick","Males","Total","20+","2000–2001","415","12.26","391","439","2.96","1145","276065",
"New Brunswick","Both sexes","Total","20+","2001–2002","323","7.51","308","338","2.33","1845","571765",
"New Brunswick","Females","Total","20+","2001–2002","244","9.08","226","262","3.73","720","295670",
"New Brunswick","Males","Total","20+","2001–2002","409","12.18","386","434","2.97","1130","276095",
"New Brunswick","Both sexes","Total","20+","2002–2003","320","7.47","305","335","2.33","1835","573760",
"New Brunswick","Females","Total","20+","2002–2003","227","8.75","211","245","3.85","675","296860",
"New Brunswick","Males","Total","20+","2002–2003","419","12.30","395","444","2.94","1160","276905",
"New Brunswick","Both sexes","Total","20+","2003–2004","291","7.10","277","305","2.44","1675","576530",
"New Brunswick","Females","Total","20+","2003–2004","220","8.58","203","237","3.91","655","298355",
"New Brunswick","Males","Total","20+","2003–2004","365","11.45","343","388","3.14","1015","278165",
"New Brunswick","Both sexes","Total","20+","2004–2005","292","7.10","278","306","2.43","1690","578930",
"New Brunswick","Females","Total","20+","2004–2005","213","8.44","197","231","3.95","640","299895",
"New Brunswick","Males","Total","20+","2004–2005","375","11.59","352","398","3.09","1045","279030",
"New Brunswick","Both sexes","Total","20+","2005–2006","287","7.03","274","301","2.45","1670","581550",
"New Brunswick","Females","Total","20+","2005–2006","221","8.56","204","238","3.88","665","301190",
"New Brunswick","Males","Total","20+","2005–2006","357","11.28","335","380","3.16","1000","280355",
"New Brunswick","Both sexes","Total","20+","2006–2007","289","7.04","276","303","2.44","1685","582705",
"New Brunswick","Females","Total","20+","2006–2007","209","8.32","193","226","3.98","630","301655",
"New Brunswick","Males","Total","20+","2006–2007","377","11.58","355","401","3.07","1060","281060",
"New Brunswick","Both sexes","Total","20+","2007–2008","318","7.37","304","333","2.32","1860","585170",
