"Data Table: Ischemic heart disease, Crude incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Counts","Population",
"Prince Edward Island","Males","Total","20+","2020–2021*","543","29.87","486","604","5.50","330","60810",
"Prince Edward Island","Both sexes","Total","20+","2021–2022*","487","19.40","450","527","3.98","630","129350",
"Prince Edward Island","Females","Total","20+","2021–2022*","357","23.04","313","405","6.45","240","67235",
"Prince Edward Island","Males","Total","20+","2021–2022*","628","31.79","567","693","5.06","390","62120",
"Prince Edward Island","Both sexes","Total","20+","2022–2023*","453","18.43","418","491","4.07","605","133445",
"Prince Edward Island","Females","Total","20+","2022–2023*","339","22.10","297","385","6.52","235","69355",
"Prince Edward Island","Males","Total","20+","2022–2023*","577","30.01","520","639","5.20","370","64090",
"Nova Scotia","Both sexes","Total","20+","2000–2001","953","11.84","930","977","1.24","6485","680160",
"Nova Scotia","Females","Total","20+","2000–2001","834","15.24","804","864","1.83","2990","358710",
"Nova Scotia","Males","Total","20+","2000–2001","1087","18.39","1052","1124","1.69","3495","321450",
"Nova Scotia","Both sexes","Total","20+","2001–2002","911","11.55","888","934","1.27","6215","682345",
"Nova Scotia","Females","Total","20+","2001–2002","794","14.86","765","823","1.87","2855","359685",
"Nova Scotia","Males","Total","20+","2001–2002","1041","17.96","1006","1077","1.73","3360","322660",
"Nova Scotia","Both sexes","Total","20+","2002–2003","882","11.34","860","905","1.29","6050","685645",
"Nova Scotia","Females","Total","20+","2002–2003","751","14.42","723","780","1.92","2715","361295",
"Nova Scotia","Males","Total","20+","2002–2003","1030","17.82","995","1065","1.73","3340","324355",
"Nova Scotia","Both sexes","Total","20+","2003–2004","861","11.17","840","884","1.30","5945","690170",
"Nova Scotia","Females","Total","20+","2003–2004","743","14.30","715","771","1.92","2700","363470",
"Nova Scotia","Males","Total","20+","2003–2004","992","17.42","958","1027","1.76","3240","326695",
"Nova Scotia","Both sexes","Total","20+","2004–2005","823","10.88","802","845","1.32","5720","694920",
"Nova Scotia","Females","Total","20+","2004–2005","701","13.84","674","729","1.97","2565","365815",
"Nova Scotia","Males","Total","20+","2004–2005","957","17.05","924","991","1.78","3150","329105",
"Nova Scotia","Both sexes","Total","20+","2005–2006","774","10.52","753","795","1.36","5410","699225",
"Nova Scotia","Females","Total","20+","2005–2006","622","13.00","597","648","2.09","2290","368030",
"Nova Scotia","Males","Total","20+","2005–2006","942","16.87","909","976","1.79","3120","331190",
"Nova Scotia","Both sexes","Total","20+","2006–2007","718","10.10","698","738","1.41","5050","703450",
"Nova Scotia","Females","Total","20+","2006–2007","572","12.43","548","597","2.17","2120","370540",
"Nova Scotia","Males","Total","20+","2006–2007","880","16.26","849","913","1.85","2930","332905",
"Nova Scotia","Both sexes","Total","20+","2007–2008","695","9.92","676","715","1.43","4910","706430",
"Nova Scotia","Females","Total","20+","2007–2008","562","12.29","538","587","2.18","2095","372575",
"Nova Scotia","Males","Total","20+","2007–2008","843","15.89","812","875","1.88","2815","333860",
"Nova Scotia","Both sexes","Total","20+","2008–2009","700","9.92","681","720","1.42","4990","712410",
"Nova Scotia","Females","Total","20+","2008–2009","586","12.49","562","611","2.13","2200","375550",
"Nova Scotia","Males","Total","20+","2008–2009","827","15.67","796","858","1.89","2785","336855",
"Nova Scotia","Both sexes","Total","20+","2009–2010","648","9.50","630","667","1.46","4660","718775",
"Nova Scotia","Females","Total","20+","2009–2010","531","11.84","508","555","2.23","2010","378600",
"Nova Scotia","Males","Total","20+","2009–2010","778","15.12","748","808","1.94","2645","340175",
"Nova Scotia","Both sexes","Total","20+","2010–2011","619","9.22","601","637","1.49","4500","727415",
"Nova Scotia","Females","Total","20+","2010–2011","494","11.36","472","517","2.30","1890","382720",
"Nova Scotia","Males","Total","20+","2010–2011","757","14.82","728","787","1.96","2610","344690",
"Nova Scotia","Both sexes","Total","20+","2011–2012","596","9.01","579","614","1.51","4380","734490",
"Nova Scotia","Females","Total","20+","2011–2012","478","11.12","456","500","2.33","1845","386315",
"Nova Scotia","Males","Total","20+","2011–2012","728","14.46","700","757","1.99","2535","348175",
"Nova Scotia","Both sexes","Total","20+","2012–2013","572","8.79","555","590","1.54","4235","740035",
"Nova Scotia","Females","Total","20+","2012–2013","451","10.76","430","473","2.39","1755","389180",
"Nova Scotia","Males","Total","20+","2012–2013","707","14.19","679","735","2.01","2480","350855",
"Nova Scotia","Both sexes","Total","20+","2013–2014","549","8.58","533","566","1.56","4100","746335",
"Nova Scotia","Females","Total","20+","2013–2014","421","10.36","401","442","2.46","1650","392145",
"Nova Scotia","Males","Total","20+","2013–2014","692","13.98","665","720","2.02","2450","354185",
"Nova Scotia","Both sexes","Total","20+","2014–2015","538","8.46","522","555","1.57","4040","750905",
"Nova Scotia","Females","Total","20+","2014–2015","414","10.25","395","435","2.47","1635","394560",
"Nova Scotia","Males","Total","20+","2014–2015","675","13.76","648","702","2.04","2405","356345",
"Nova Scotia","Both sexes","Total","20+","2015–2016","568","8.66","551","585","1.53","4295","756645",
"Nova Scotia","Females","Total","20+","2015–2016","437","10.48","416","458","2.40","1735","397320",
"Nova Scotia","Males","Total","20+","2015–2016","712","14.08","685","741","1.98","2560","359325",
"Nova Scotia","Both sexes","Total","20+","2016–2017","541","8.41","525","558","1.55","4140","764990",
"Nova Scotia","Females","Total","20+","2016–2017","411","10.12","392","432","2.46","1650","401215",
"Nova Scotia","Males","Total","20+","2016–2017","686","13.73","659","713","2.00","2495","363780",
"Nova Scotia","Both sexes","Total","20+","2017–2018","507","8.09","492","523","1.60","3930","774660",
"Nova Scotia","Females","Total","20+","2017–2018","390","9.81","371","410","2.51","1585","406040",
"Nova Scotia","Males","Total","20+","2017–2018","636","13.14","611","662","2.07","2345","368620",
"Nova Scotia","Both sexes","Total","20+","2018–2019","477","7.79","462","492","1.63","3750","786420",
"Nova Scotia","Females","Total","20+","2018–2019","378","9.58","359","397","2.54","1555","411825",
"Nova Scotia","Males","Total","20+","2018–2019","586","12.51","562","611","2.13","2195","374590",
"Nova Scotia","Both sexes","Total","20+","2019–2020","474","7.69","459","489","1.62","3800","801715",
"Nova Scotia","Females","Total","20+","2019–2020","365","9.33","347","384","2.56","1530","419200",
"Nova Scotia","Males","Total","20+","2019–2020","595","12.47","571","620","2.10","2275","382515",
"Nova Scotia","Both sexes","Total","20+","2020–2021*","454","7.44","439","468","1.64","3715","818970",
"Nova Scotia","Females","Total","20+","2020–2021*","349","9.03","331","367","2.59","1490","427405",
"Nova Scotia","Males","Total","20+","2020–2021*","568","12.05","545","592","2.12","2225","391565",
"Nova Scotia","Both sexes","Total","20+","2021–2022*","442","7.26","428","456","1.64","3700","837765",
"Nova Scotia","Females","Total","20+","2021–2022*","341","8.83","324","359","2.59","1490","437105",
"Nova Scotia","Males","Total","20+","2021–2022*","553","11.75","530","576","2.12","2215","400665",
"Nova Scotia","Both sexes","Total","20+","2022–2023*","416","6.95","402","429","1.67","3580","861445",
"Nova Scotia","Females","Total","20+","2022–2023*","311","8.32","295","327","2.68","1395","449065",
"Nova Scotia","Males","Total","20+","2022–2023*","530","11.34","508","553","2.14","2185","412380",
"New Brunswick","Both sexes","Total","20+","2000–2001","1074","14.08","1047","1102","1.31","5820","541720",
"New Brunswick","Females","Total","20+","2000–2001","922","18.09","887","958","1.96","2600","281935",
"New Brunswick","Males","Total","20+","2000–2001","1243","21.88","1201","1287","1.76","3230","259795",
"New Brunswick","Both sexes","Total","20+","2001–2002","1089","14.20","1061","1117","1.30","5880","539970",
"New Brunswick","Females","Total","20+","2001–2002","963","18.50","927","1000","1.92","2710","281330",
"New Brunswick","Males","Total","20+","2001–2002","1226","21.77","1183","1269","1.78","3170","258640",
"New Brunswick","Both sexes","Total","20+","2002–2003","1046","13.92","1019","1074","1.33","5645","539695",
